Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan,"Em 2021, a Unicamp entrou  em terceiro lugar na lista das universidades com melhor reputação do mundo, de acordo com o ranking Times Higher Education (THE) World Reputation. Essa conquista aumenta a responsabilidade social desta instituição pública, tanto por meio da formação de profissionais altamente qualificados quanto no desenvolvimento de projetos que promovam interação entre a academia e a sociedade.",URL,Paragraph,Sentence
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_itcp,10.0,"Para se candidatar ao processo seletivo, o estudante deve verificar o edital em vigor e providenciar o requerimento de inscrição e os documentos solicitados dentro do prazo estipulado."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_itcp,10.0,"A inscrição deve ser protocolada na Diretoria de Projetos de Extensão - Pró-Reitoria de Extensão e Cultura (ProEC), localizada no endereço Av."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_itcp,10.0,"Érico Veríssimo, 800."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_itcp,11.0,© Pró-Reitoria de Extensão e Cultura.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_itcp,11.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,0.0,Programas Terra e Colmeias de Cursinhos passam a fazer parte da Proec
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,1.0,Publicado em 25/05/2023 por PROEC
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,2.0,A apresentação dos programas aos funcionários da Pró-reitoria ocorreu na última segunda-feira (22) no auditório do programa UniversIDADE
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,3.0,Reportagem: Maria Luiza Robles Arias e Gabriela Villen  | Imagens e edição: Luiz Tadeu
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,4.0,A Pró-reitoria de Extensão e Cultura (Proec) da Unicamp incorporou a sua estrutura institucional os programas de extensão Terra e Colmeias de Cursinhos Pré-Vestibulares e Pré-Vestibulinhos.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,4.0,"Os programas multidisciplinares reúnem ações de extensão em agroecologia e educação, abrangendo projetos atuantes há mais de uma década."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,4.0,"A institucionalização pretende fortalecer essas iniciativas já consolidadas, garantindo sua perenidade."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,4.0,"Uma apresentação dos programas aos funcionários da Proec, nesta segunda-feira (22), no auditório do programa UniversIDADE, marcou as boas-vindas à Pró-reitoria."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,5.0, 
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,6.0,Confira o vídeo:
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,7.0,
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,8.0,"De acordo com Vanilde Esquerdo, professora da Faculdade de Engenharia Agrícola (Feagri) e coordenadora do programa, o Programa Terra nasceu a partir das experiências da Rede de Agroecologia da Unicamp (RAU)."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,8.0,"Segundo ela, a rede, que surgiu em meados de 2010 e tem ramificações em todo país, tem o intuito de fortalecer a Agroecologia e sua compreensão multidisciplinar."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,8.0,"A fim de ampliar as atividades desenvolvidas pela RAU na Unicamp e levá-las para os agricultores locais, surge o Programa Terra."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,8.0,"“O objetivo é sair de uma realidade convencional de produção, com todos os impactos que causa no meio ambiente, na saúde das pessoas e na economia, para um sistema de produção de base sustentável, na região de Campinas e Limeira”, explicou Vanilde Esquerdo."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,8.0,
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,9.0,O Programa Colmeias reúne Cursinhos Pré-Vestibulares e Pré-Vestibulinhos em Campinas e Limeira.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,9.0,"Segundo Josely Rimoli, professora da  Faculdade de Ciências Aplicadas (FCA) e coordenadora do Colmeias, o programa teve início em 2010, com objetivo de oferecer formação preparatória para estudantes das escolas públicas."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,9.0,"Desde seu surgimento, mais de 5 mil alunos passaram pelo projeto, registrando mais de 800 aprovações."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,9.0,"“O Colmeia tem essa função de incluir o aluno no mundo do estudo e, posteriormente, no mundo do trabalho”, ressalta Josely."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,9.0,"Além do ingresso dos alunos no Ensino Superior, o Programa atua no apoio à permanência dos estudantes, oferecendo bolsas aos que quiserem atuar como professores do Colmeia."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,9.0,"A coordenadora ressaltou ainda os planos de expansão, com a criação do cursinho pré-vestibular Colmeias do Jardim São Marcos, em Campinas."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,10.0, 
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,11.0,© Pró-Reitoria de Extensão e Cultura.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/programas-terra-e-colmeias-de-cursinhos-passam-a-fazer-parte-da-proec,11.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,0.0,"
5º Edital PROEC - PEX recebe inscrições até 19 de agosto
"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,1.0,Todas Notícias
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,2.0,"
Fórum Especial - 20 Anos: Direitos Humanos na Prática:
"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,3.0,"
Além da Guerra às Drogas: 
"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,4.0,"
A Lei Geral de Proteção de Dados Pessoais e as Universidades Estaduais Paulistas
"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,5.0,PROEC
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,6.0,Edital de apoio a projetos e programas de Extensão
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,7.0,PROEC
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,8.0, Mulheres Construindo Justiça Social
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,9.0,PROEC
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,10.0,"Políticas públicas, democracia e garantia de direitos"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,11.0,PROEC
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,12.0,Criação de uma cultura de privacidade na comunidade universitária
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,13.0,© Pró-Reitoria de Extensão e Cultura.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias,13.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,0.0,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,1.0,Publicado em 26/05/2023 por PROEC
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,2.0,"Fernando Coelho, pró-reitor de Extensão e Cultura da Unicamp, sugere definição de orçamento e planejamento federal "
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,3.0,Texto: Fernando Barbosa e Gabriela Villen  | Imagens: Divulgação
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,4.0,"O pró-reitor de Extensão e Cultura da Unicamp (Proec), Fernando Coelho, participou nesta quinta-feira (25), da audiência pública da Comissão de Educação da Câmara Federal, que discutiu o ""Financiamento da Extensão Universitária""."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,4.0,"Presidida pela deputada Lídice da Mata (PSB-BA), a audiência reuniu reitores e pró-reitores das principais universidades públicas do país."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,4.0,"O debate ressaltou a importância da extensão universitária realizada pelas universidades, bem como a necessidade de fomento específico, que garanta a continuidade dos programas e ações voltadas à comunidade."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,5.0,“Temos demandas bem claras e há um consenso de que precisamos de financiamento.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,5.0,"Minha pergunta é: qual é o nível de planejamento que já existe para que a gente tenha, no próximo orçamento da União, recursos devidamente estabelecidos para que a gente possa assim financiar, ou retomar, programas de extensão que envolvam um financiamento substantivo?”, questionou Coelho."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,5.0,"O pró-reitor da Unicamp ressaltou, ainda, a necessidade de agregar à extensão, Políticas de Permanência Estudantil."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,5.0,
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,6.0,"Para a deputada Lídice da Mata, é fundamental estabelecer um cronograma e manter a articulação das instituições presentes, para que os apontamentos sejam levados à Comissão da Câmara responsável pela elaboração das emendas."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,6.0,"“Vamos pedir uma audiência com o MEC, para levarmos os documentos e solicitações."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,6.0,"Nosso entendimento é de que precisamos ampliar os orçamentos das Universidades, para que essas tenham condições de repassá-los para as extensões”, afirmou."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,6.0,"Da Mata ressaltou, contudo, a necessidade de busca de financiamento também nas  instâncias regionais."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,7.0, 
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,"Alexandre da Fonseca, diretor de Políticas e Programas de Educação Superior, que representava o Ministério da Educação (MEC), apresentou dados e propostas, ponderando que a equipe ainda passa por momento de reconhecimento e avaliação das demandas."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,Ele afirmou que vem acompanhando o debate sobre a Extensão Universitária e sua curricularização.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,"“Toda ação da Sesu [Secretaria de Educação Superior] terá como norte a indissociabilidade do ensino-pesquisa-extensão"", pontuou."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,"""Vamos trabalhar para que novas ações aconteçam a partir desse diálogo com as instituições de educação."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,"Esse movimento organizado precisa ser ouvido”, afirmou o diretor."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,9.0,"Entre os pró-reitores presentes, Guilherme Bertissolo, da Universidade Federal da Bahia, ressaltou o papel das ações de Extensão nas Universidades públicas."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,9.0,"""Acho importante ressaltar o papel central da extensão no cumprimento da missão e na própria constituição da natureza pública dessas instituições."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,9.0,"É a extensão que as qualifica como mecanismos concretos de transformação social e também com o compromisso do imaginário de um outro mundo possível"", destacou."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,10.0,"O debate contou ainda com a presença do presidente do Fórum de Pró-Reitores de Extensão das Instituições Públicas de Educação Superior Brasileiras (Forproex), Hélder Eterno da Silveira; o presidente da Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior (Andifes), Ricardo Marcelo Fonseca; e o presidente da Associação Brasileira dos Reitores das Universidades Estaduais e Municipais (Abruem), Francisco D."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,10.0,Lima Júnior.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,11.0, 
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,12.0,Confira o registro da audiência:
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,13.0,© Pró-Reitoria de Extensão e Cultura.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,13.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,0.0,PROEXT
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,1.0,Fique por dentro dos editais
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,2.0,"O Programa de Extensão Universitária (ProExt) foi instituído mediante DECRETO Nº 6.495, DE 30 DE JUNHO DE 2008."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,2.0,"Tem a finalidade de apoiar instituições públicas de educação superior no desenvolvimento de programas ou projetos de extensão universitária que contribuam para a implementação de políticas públicas, com vistas a ampliar sua interação com a sociedade."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,3.0,centralizar e racionalizar as ações de apoio à extensão universitária desenvolvidas no âmbito do Ministério da Educação;
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,4.0,"dotar as instituições públicas de ensino superior de melhores condições de gestão das atividades acadêmicas de extensão, permitindo planejamento de longo prazo;"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,5.0,"potencializar e ampliar os patamares de qualidade das ações de extensão, projetando-as para a sociedade e contribuindo para o alcance da missão das instituições públicas de ensino superior;"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,6.0,fomentar programas e projetos de extensão que contribuam para o fortalecimento de políticas públicas;
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,7.0,"estimular o desenvolvimento social e o espírito crítico dos estudantes, bem como a atuação profissional pautada na cidadania e na função social da educação superior;"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,8.0,contribuir para a melhoria da qualidade da educação brasileira por meio do contato direto dos estudantes com realidades concretas e da troca de saberes acadêmicos e populares;
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,9.0,propiciar a democratização e difusão do conhecimento acadêmico; e
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,10.0,fomentar o estreitamento dos vínculos entre as instituições de ensino superior e as comunidades populares do entorno.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,11.0,"Inscrição de proposta que se refere a programas ou projetos afins com as atuais políticas públicas, em especial com as políticas sociais."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,11.0,"O Ministério da Educação (MEC) define Projeto de Extensão como um conjunto de ações processuais contínuas, de caráter educativo, social, cultural ou tecnológico, com objetivo específico e prazo determinado."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,11.0,"O Programa de Extensão é definido como sendo um conjunto articulado de projetos e outras ações de extensão, de caráter multidisciplinar e integrado a atividades de pesquisa e de ensino."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,11.0,"Tem caráter orgânico-institucional, integração no território e/ou grupos populacionais, clareza de diretrizes e orientação para um objetivo comum, sendo executado a médio e longo prazo por alunos orientados por um ou mais docentes da Unicamp."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,12.0,Docentes e alunos de graduação regularmente matriculados na Unicamp.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,13.0,"Geralmente o MEC divulga os editais no primeiro semestre de cada ano e, mais especificamente, no mês de fevereiro."
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,14.0,© Pró-Reitoria de Extensão e Cultura.
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/editais_proext,14.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
,,,,,,,,,,,,,,,,,https://www.proec.unicamp.br/paginas/editalcoltec,0.0,"A Universidade Estadual de Campinas UNICAMP, por intermédio da Pró-Reitoria de Extensão e Cultura, torna público, no âmbito da Universidade, o 1° Edital de Apoio a Projetos de Extensão PROEC - PEX - Colégios Técnicos - 2023 que se enquadrem no conceito de ações de “Extensão”, coordenados por docentes dos Colégios Técnicos da UNICAMP, de acordo com os critérios e procedimentos dispostos neste edital."
