URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp.  Elan,Rev. Elan
http://portal.proec.unicamp.br/comunicacao/,23,"A Comunicação da ProEC tem como papel principal minimizar a distância entre a Universidade e as comunidades interna e externa da Unicamp, a partir da produção e divulgação de textos, e conteúdo audiovisual.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,24,"Entre suas atribuições, está o desenvolvimento de estratégias para disseminar não somente atividades e realizações dos órgãos da Proec, mas também a difusão ampla de projetos de extensão e cultura desenvolvidos por alunos, professores e funcionários da Universidade Estadual de Campinas em todos os setores sociais, inclusive na grande imprensa e nos veículos de comunicação da Unicamp.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,25,Também é papel da Comunicação acompanhar a discussão de projetos dos órgãos da Proec desde a origem para orientar sobre a estratégia mais adequada para garantir o direito do público à informação.,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,26,"Como forma de ampliar o conhecimento sobre a importância da Extensão Universitária e de uma cultura acadêmica pautada pelo respeito ao multiculturalismo, a Comunicação mantém contato direto, frequente e irrestrito, com setores de comunicação de outras áreas da Unicamp, os quais têm auxiliado na divulgação das ações da Extensão e proposto parcerias.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,27,"Entre os planos, está a busca de parcerias com órgãos externos, públicos ou privados, para levar a Comunicação em Extensão ao seu principal público: a sociedade.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,28,Junte-se a nós!,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,29,Equipe Comunicação,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,30,Henrique Piva Varanelli,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,31,Camila Monte Afonso,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,32,Gabriel Palma Teixeira,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,33,Isabela Leonardo dos Santos,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,34,Paulo Ricardo da Silva Moura,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,35,"Rua da Reitoria, 121Cidade Universitária Zeferino VazBarão Geraldo – Campinas (SP)CEP 13083-872Telefone (19) 3521.4741proec@unicamp.br",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,36,ACESSO RÁPIDO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,37,MEMORIAL COVID-19,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,38,EXTECAMP,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,39,MALUNGA - CURSINHO POPULAR,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,40,EFEMÉRIDES 2022,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,41,FÓRUNS PERMANENTES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,42,MUSEU EXPLORATÓRIO DE CIÊNCIAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,43,Assinne nossa  Newsletter,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,44,© All rights reserved,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,45,"
Twitter

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,46,"
Facebook

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,47,"
Dribbble

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,48,"
Youtube

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,49,"
Pinterest

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,50,"
Medium

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,51,Acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,52,Modos de acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,53,Experiência legível,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,54,Experiência visualmente agradável,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,55,Orientação Fácil,,,,,,,,,,,,,
http://portal.proec.unicamp.br/comunicacao/,56,X,,,,,,,,,,,,,
