URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp.  Elan,Rev. Elan
http://portal.proec.unicamp.br/midialogia-proec/,27,"Esses projetos podem envolver a produção de vídeos, podcasts, reportagens, documentários, entre outros formatos.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,28,"Além disso, a Midialogia também pode ser utilizada para promover a participação da comunidade na produção e disseminação de conteúdos midiáticos, estimulando a diversidade de vozes e opiniões, e a construção coletiva de conhecimento.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,29,"Por fim, a Midialogia é importante para a gestão e o planejamento das atividades de extensão e cultura, pois permite identificar as necessidades e demandas da comunidade em relação aos meios de comunicação e à cultura midiática.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,30,"Dessa forma, é possível planejar e executar atividades que estejam alinhadas com as necessidades da comunidade, e que contribuam para sua formação crítica e reflexiva.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,31,"Em resumo, a Midialogia é uma área de grande importância em uma Pró-reitoria de Extensão e Cultura, pois permite utilizar os meios de comunicação de forma ética e responsável na promoção da cultura e do conhecimento, estimula a participação da comunidade na produção de conteúdos midiáticos, e contribui para a gestão e planejamento das atividades de extensão e cultura.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,32,Equipe Midialogia,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,33,Claudio Moreira,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,34,Dario Mendes,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,35,Luiz Henrique,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,36,Pamela Keiti,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,37,Vinícius Antonio,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,38,"Rua da Reitoria, 121Cidade Universitária Zeferino VazBarão Geraldo – Campinas (SP)CEP 13083-872Telefone (19) 3521.4741proec@unicamp.br",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,39,ACESSO RÁPIDO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,40,MEMORIAL COVID-19,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,41,EXTECAMP,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,42,MALUNGA - CURSINHO POPULAR,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,43,EFEMÉRIDES 2022,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,44,FÓRUNS PERMANENTES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,45,MUSEU EXPLORATÓRIO DE CIÊNCIAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,46,Assinne nossa  Newsletter,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,47,© All rights reserved,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,48,"
Twitter

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,49,"
Facebook

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,50,"
Dribbble

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,51,"
Youtube

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,52,"
Pinterest

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,53,"
Medium

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,54,Acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,55,Modos de acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,56,Experiência legível,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,57,Experiência visualmente agradável,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,58,Orientação Fácil,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,59,X,,,,,,,,,,,,,
